id_institucional,Clee,Nombre de la Unidad Econ√≥mica,nombre_empresa,C√≥digo de la clase de actividad SCIAN,actividad_economica,tamaño_empresa,Tipo de vialidad,direccion,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,N√∫mero exterior o kil√≥metro,Letra exterior,Edificio,Edificio Piso,N√∫mero interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado p√∫blico",N√∫mero de local,C√≥digo Postal,Clave entidad,Entidad federativa,id_municipio,nombre_municipio,Clave localidad,municipio,Area_geoestadistica_basica,Manzana,Numero_telefonico,correo_electronico,Sitio en Internet,Tipo de establecimiento,latitude,longitude,sector
11785378,09010213111000097000000000U4,BAKER HUGUES DE MEXICO,BAKER HUGUES DE MEXICO S DE RL DE CV,213111,Perforaci√≥n de pozos petroleros y de gas,251 personas,CALLE,Antonio Doval√≠ Jaime,AVENIDA,Javier Barros Sierra,CALLE,Prolongaci√≥n Avenida Santa Fe,CALLE,Ninguno,50,,SAMARA,,,TORRE B,COLONIA,SANTA FE (ZEDEC),,,,1376,9,CIUDAD DE M√âXICO,10,√Ålvaro Obreg√≥n,1,√Ålvaro Obreg√≥n,1542,53,,ERIK.COLIN@BAKERHUGHES.COM,WWW.BAKERHUGHES.COM,Fijo,19.36714327,-99.25929282,2025-04
6189290,09010212393000013000009044M6,BARAMIN,BARAMIN SA DE CV,212393,Miner√≠a de barita,251 personas,CALLE,ARQUIMEDES,CALLE,RUBEN DARIO,CALLE,TRES PICOS,CALLE,LORD BYRON,15,,,,0,,COLONIA,POLANCO V SECCION,EDIFICIO COMERCIAL Y DE SERVICIOS,SPACES,415-418,11560,9,CIUDAD DE M√âXICO,16,Miguel Hidalgo,1,Miguel Hidalgo,783,24,,JULIO.TREVINO@BARAMIN.COM.MX,WWW.BARAMIN.COM.MX,Fijo,19.42758049,-99.19172366,2010-07
9323939,09016213111000103000000000U0,CPL SERVICIOS DE PERFORACION,CPL SERVICIOS DE PERFORACION SA DE CV,213111,Perforaci√≥n de pozos petroleros y de gas,251 personas,BOULEVARD,MANUEL AVILA CAMACHO,AVENIDA,HOMERO,AVENIDA,HORACIO,CALLE,BLAS PASCAL,191,,PERIFERICO 191,PISO 5,504,,COLONIA,POLANCO I SECCION ,EDIFICIO COMERCIAL Y DE SERVICIOS,TORRE PRISMA,504,,9,CIUDAD DE M√âXICO,16,Miguel Hidalgo,1,Miguel Hidalgo,622,15,,PENELOPE.ROMERO@CPLATINA.COM,WWW.CPLATINA.COM,Fijo,19.43625311,-99.21262376,2020-11
6858110,09016212222000016101025210S7,MINERA LA ENCANTADA,FIRST MAJESTIC CORP SA DE CV,212222,Miner√≠a de plata,251 personas,AVENIDA,RIO SAN JOAQUIN,PROLONGACION,MOLIERE,CALLE,PRIVADA MIGUEL DE CERVANTES SAAVEDRA,CALLE,LAGO ANDROMACO,406,,TORRE ONYX,PISO 2,2,,COLONIA,AMPLIACION GRANADA,EDIFICIO COMERCIAL Y DE SERVICIOS,TORRE ONYX ,2,11529,9,CIUDAD DE M√âXICO,16,Miguel Hidalgo,1,Miguel Hidalgo,459,11,,GFLORESM@FIRSTMAJESTIC.COM,WWW.FIRSTMAJESTIC.COM,Fijo,19.44386939,-99.19859853,2019-04
9324607,09016212221000084000025210S7,NUSANTARA DE MEXICO,FIRST MAJESTIC CORP SA DE CV,212221,Miner√≠a de oro,251 personas,AVENIDA,RIO SAN JOAQUIN,PROLONGACION,MOLIERE,CALLE,PRIVADA MIGUEL DE CERVANTES SAAVEDRA,CALLE,LAGO ANDROMACO,406,,TORRE ONIX,PISO 2,,,COLONIA,AMPLIACION GRANADA,EDIFICIO COMERCIAL Y DE SERVICIOS,TORRE ONIX,SN,11529,9,CIUDAD DE M√âXICO,16,Miguel Hidalgo,1,Miguel Hidalgo,459,11,,GFLORESM@FIRSTMAJESTIC.COM,WWW.FIRSTMAJESTIC.COM,Fijo,19.443863,-99.1985821,2020-11
9134050,09013221312000245000000000U7,AREA OPERATIVA DE SERVICIO DE AGUAS,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO ,221312,"Captacion, tratamiento y suministro de agua realizados por el sector publico",251 personas,CALLE,CAPULINES,CALLE,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,0,SN,,,,,PUEBLO,SANTIAGO TEPALCATLALPAN,,,,16200,9,CIUDAD DE M√âXICO,13,Xochimilco,1,Xochimilco,404,2,,RECURSOSHIDRAHULICOS@SACMEX.CDMX.GOB.MX,,Fijo,19.2502981,-99.10827602,2019-11
11702628,09009221312000147000000000U3,CAMPAMENTO DE AGUA POTABLE Y DRENAJE DE LA ALCALDIA MILPA ALTA,ALCALDIA MILPA ALTA ,221312,"Captacion, tratamiento y suministro de agua realizados por el sector publico",251 personas,CALLE,SAN DIEGO,CALLE,PINOS,CALLE,IGNACIO ZARAGOZA,CALLE,CEDROS,0,SN,,,,,PUEBLO,SAN JUAN TEPENAHUAC,,,,12800,9,CIUDAD DE M√âXICO,9,Milpa Alta,17,San Francisco Tecoxpa,399,16,,,,Fijo,19.19241823,-98.99705764,2024-11
9230069,09015221122000011000061159M1,CFE DISTRIBUCION,CFE DISTRIBUCION ,221122,Distribuci√≥n de energ√≠a el√©ctrica,251 personas,CALLE,RIO RODANO,CALLE,RIO ATOYAC,CALLE,RIO LERMA,CALLE,RIO ELBA,14,,,,,,COLONIA,CUAUHTEMOC,,,,6598,9,CIUDAD DE M√âXICO,15,Cuauht√©moc,1,Cuauht√©moc,930,15,,GUILLERMO.NEVAREZ@CFE.GOB.MX,WWW.CFE.MX,Fijo,19.42458244,-99.17626105,2020-04
718749,09007221110000085000061159S7,CFE DISTRIBUCION ZONA ERMITA DIVISION VALLE DE MEXICO SUR SUCURSAL AL SERVI,CFE DISTRIBUCION,221122,Distribuci√≥n de energ√≠a el√©ctrica,251 personas,CALLE,CENTRAL DE ABASTOS,OTRO(ESPECIFIQUE),TLAPALEROS,EJE VIAL,5 SUR  LEYES DE REFORMA,EJE VIAL,4 ORIENTE  R√çO CHURUBUSCO,0,S/N,,,0,,COLONIA,CENTRAL DE ABASTO,,,SN,9040,9,CIUDAD DE M√âXICO,7,Iztapalapa,1,Iztapalapa,2403,18,,ALFREDO.RUIZ@CFE.MX,WWW.CFE.MX,Fijo,19.3805302,-99.09145603,2014-12
9228557,09003221111000013000041182M6,CFE GENERACION I EPS,CFE GENERACION I EPS,221111,Generaci√≥n de electricidad a partir de combustibles f√≥siles,251 personas,AVENIDA,PACIFICO,CALLE,MONSERRAT,CALZADA,CANDELARIA,CALLE,AZTECAS,265,,,,,,COLONIA,LOS REYES COYOACAN,,,,,9,CIUDAD DE M√âXICO,3,Coyoac√°n,1,Coyoac√°n,450,9,,EMILIA.CALLEJA@CFE.MX,WWW.CFE.MX,Fijo,19.33642728,-99.14961953,2020-04
